Exam_Score,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Internet_Access,Tutoring_Sessions,School_Type,Physical_Activity,Distance_from_Home,Motivation_Level
67,84,Low,High,7,Yes,0,Public,3,Near,Low
61,64,Low,Medium,8,Yes,2,Public,4,Moderate,Low
74,98,Medium,Medium,7,Yes,2,Public,4,Near,Medium
71,89,Low,Medium,8,Yes,1,Public,4,Moderate,Medium
70,92,Medium,Medium,6,Yes,3,Public,4,Near,Medium
71,88,Medium,Medium,8,Yes,3,Public,3,Near,Medium
67,84,Medium,Low,7,Yes,1,Private,2,Moderate,Low
66,78,Low,High,6,Yes,1,Public,2,Far,Medium
69,94,Medium,High,6,Yes,0,Private,1,Near,High
72,98,Medium,Medium,8,Yes,0,Public,5,Moderate,Medium
68,80,Low,High,8,No,4,Private,4,Moderate,Medium
71,97,Medium,High,6,Yes,2,Private,2,Near,Low
70,83,Medium,Medium,8,Yes,2,Public,4,Near,Low
66,82,Medium,Medium,8,Yes,2,Private,3,Near,Medium
65,78,Medium,High,8,Yes,1,Private,4,Near,Medium
64,68,Medium,Medium,8,Yes,2,Private,4,Near,Medium
60,60,Medium,Low,10,Yes,0,Private,3,Near,Low
65,70,Low,Medium,6,Yes,1,Public,3,Near,Medium
67,80,Medium,Medium,9,Yes,3,Public,2,Moderate,Low
66,75,Medium,High,7,Yes,3,Private,4,Near,Medium
69,78,Medium,Medium,5,Yes,0,Public,1,Moderate,High
72,99,Medium,High,6,Yes,1,Public,3,Near,Medium
66,74,Medium,High,8,Yes,1,Public,2,Moderate,Low
66,78,High,Medium,8,Yes,1,Public,3,Moderate,High
63,65,Low,High,5,Yes,2,Public,3,Near,Medium
64,62,High,Low,6,Yes,0,Public,3,Far,High
65,91,Low,Medium,6,Yes,1,Public,2,Moderate,Medium
71,83,High,High,6,Yes,0,Public,2,Moderate,Medium
66,90,Medium,Medium,4,Yes,1,Public,3,Moderate,Medium
64,66,High,High,4,Yes,2,Private,2,Near,Low
63,83,Low,Medium,6,Yes,0,Public,4,Near,Medium
69,70,Medium,High,7,Yes,1,Public,3,Near,Medium
67,69,Medium,Medium,8,Yes,2,Public,3,Near,Medium
68,65,High,Medium,5,Yes,2,Public,3,Moderate,Medium
61,72,Low,Medium,6,Yes,1,Public,3,Near,Low
64,65,Medium,Low,7,Yes,2,Public,3,Far,Low
67,99,Medium,Medium,9,Yes,2,Public,5,Near,Low
63,72,Low,Medium,8,Yes,1,Public,5,Near,Medium
64,65,Low,Medium,6,Yes,1,Public,4,Near,Low
67,68,High,Medium,8,Yes,3,Public,1,Near,Low
65,84,Medium,Medium,6,Yes,1,Public,2,Far,Low
64,63,Low,High,7,Yes,1,Private,3,Moderate,Medium
70,94,Medium,High,7,Yes,3,Private,2,Near,Medium
68,98,Medium,Medium,9,Yes,1,Private,3,Far,Low
65,70,Medium,Medium,8,Yes,2,Public,3,Moderate,Medium
68,78,Medium,Medium,6,Yes,1,Private,3,Near,Medium
64,61,Medium,Low,6,Yes,2,Public,3,Moderate,Medium
68,86,Low,Medium,7,Yes,3,Public,2,Moderate,Low
63,77,Medium,Medium,5,Yes,2,Public,3,Near,Medium
64,71,Low,Medium,7,Yes,1,Public,4,Moderate,Low
64,68,High,Medium,7,Yes,0,Public,3,Near,Medium
67,86,Low,Medium,8,Yes,2,Public,4,Near,Medium
67,77,High,Low,8,Yes,0,Public,3,Near,Medium
66,67,Medium,High,7,Yes,2,Private,4,Far,Low
72,88,Medium,High,5,Yes,1,Private,4,Moderate,Medium
65,83,Medium,High,5,No,1,Public,2,Near,Low
71,94,Medium,Medium,6,Yes,1,Public,4,Near,High
66,65,High,Low,8,Yes,2,Public,1,Near,Medium
68,91,Medium,Low,8,Yes,0,Private,3,Moderate,Medium
70,87,Medium,Medium,7,Yes,1,Public,5,Near,Medium
62,65,Medium,Medium,10,Yes,0,Public,3,Moderate,Low
68,88,Low,High,9,Yes,2,Private,4,Far,High
67,78,Medium,High,9,Yes,2,Public,3,Moderate,High
71,98,Low,High,8,No,0,Private,3,Near,Medium
68,66,Medium,High,8,Yes,0,Public,2,Near,Medium
69,86,Medium,Medium,8,Yes,1,Public,3,Near,Medium
70,75,Low,High,4,Yes,3,Private,2,Moderate,High
69,98,Medium,High,5,No,1,Public,4,Moderate,Low
65,73,Medium,Medium,7,Yes,1,Public,4,Near,Medium
70,98,Medium,Low,7,No,3,Public,3,Near,Medium
71,96,Medium,Low,7,Yes,1,Public,3,Moderate,Medium
65,71,Medium,Medium,7,Yes,1,Public,4,Near,Medium
72,92,Low,Medium,4,Yes,2,Public,1,Near,Medium
69,100,High,High,8,Yes,0,Private,4,Moderate,High
66,70,Medium,Medium,7,Yes,1,Public,3,Near,Medium
68,77,Low,Medium,7,Yes,4,Private,3,Moderate,Medium
65,81,High,Low,8,Yes,0,Public,3,Moderate,Medium
64,72,Medium,Medium,5,Yes,1,Public,5,Moderate,Medium
60,61,Medium,Medium,7,Yes,1,Public,3,Near,Medium
65,69,Medium,High,7,Yes,1,Public,2,Near,High
66,71,High,Medium,6,Yes,1,Public,3,Near,High
74,78,High,High,4,Yes,5,Public,3,Near,Low
62,67,Medium,Medium,5,Yes,2,Private,3,Far,High
70,95,Medium,Medium,7,Yes,2,Public,4,Moderate,Medium
69,88,Medium,High,7,Yes,0,Public,3,Near,Low
67,63,Medium,High,7,Yes,3,Private,4,Far,Medium
64,86,Low,Low,6,Yes,2,Public,0,Moderate,Medium
